Дата,Медиальная,Мин. медиальная,Макс. медиальная,Мин. цена,Макс. цена,Средняя медиальная,Средняя арифметическая,Средняя хронологическая
1 - март 2024,89400.00,190000.00,200000.00,8350.00,3292750.00,195000.00,197024.00,197024.00
2 - март 2024,89400.00,190000.00,200000.00,8350.00,3292750.00,195000.00,197024.00,197024.00
3 - март 2024,89400.00,190000.00,200000.00,8350.00,3292750.00,195000.00,197024.00,197024.00
4 - март 2024,89400.00,190000.00,200000.00,8350.00,3292750.00,195000.00,197024.00,197024.00
5 - март 2024,88200.00,190000.00,200000.00,8350.00,3292750.00,195000.00,191612.00,191612.00
6 - март 2024,88200.00,190000.00,200000.00,8350.00,3292750.00,195000.00,191612.00,191612.00
7 - март 2024,88000.00,190000.00,200000.00,8350.00,3292750.00,195000.00,190729.00,190729.00
8 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
9 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
10 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
11 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
12 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
13 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
14 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
15 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
16 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
17 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
18 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
19 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
20 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
20 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
21 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
22 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
23 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
24 - март 2024,88000.00,189000.00,190000.00,8350.00,3292750.00,189500.00,189634.00,189634.00
25 - март 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
26 - март 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
27 - март 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
28 - март 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
29 - март 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
30 - март 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
31 - март 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
1 - апрель 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
2 - апрель 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
3 - апрель 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
4 - апрель 2024,89400.00,253630.00,260645.00,8350.00,12000000.00,257138.00,255374.00,255374.00
